PG.ProteinAccessions,NP1_1,NP1_2,NP1_3,NP1_4,NP1_5,NP2_1,NP2_2,NP2_3,NP2_4,NP2_5,NP3_1,NP3_2,NP3_3,NP3_4,NP3_5,NP4_1,NP4_2,NP4_3,NP4_4,NP4_5,NP5_1,NP5_2,NP5_3,NP5_4,NP5_5,NP6_1,NP6_2,NP6_3,NP6_4,NP6_5
A0A075B6K0;P01717;P01718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6K5;P80748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0B4J1V2,87287.234375,86612.0407555513,86714.0646672137,87710.8620351441,87554.9018729739,371390.5,370825.442244552,372341.537119143,372012.551808517,371570.168543395,189403.28125,190311.43729711,188895.236212257,189096.257285178,188722.430577464,76559.7734375,76350.7288850918,76415.00621178,77439.784797661,76204.0503176935,138718.40625,139253.815836504,139454.237641066,138975.068248574,137789.187386863,158706.90625,158952.840862118,157884.43490795,158362.851077944,159583.203495733
A0A0B4J1X5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C4DH25;P01619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C4DH29,NA,NA,NA,NA,NA,192148.25,192858.52928032,191519.176418342,192158.121274699,191459.01754909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A5B9,243620.3125,244031.440988369,243598.8768504,243518.096287455,243755.653581768,267511.59375,266543.668198653,267015.124845106,267746.487041257,267406.288632911,236843.78125,237139.57915635,236793.838450156,235852.75133786,236619.330820099,251981.328125,251860.230333991,251907.638755515,252608.25472733,252207.205835618,159568.78125,159301.288532868,159541.696381599,159386.303328287,159955.858487945,86502.359375,86681.0004432835,86219.5898756534,86749.1391698048,85923.7239841521
A0AVT1,257034.890625,256537.776333585,256088.771582887,256314.190859746,257430.030156698,259303.8125,259535.9536171,258918.246406507,259004.146665245,260099.043376654,279978.78125,280445.454374116,280297.76281926,279665.604198977,280273.915325452,275472.4375,275392.459423259,275292.453154899,275726.750700247,276154.244552344,199882.546875,199699.264988143,200335.507338706,200095.876961321,198934.512955908,215639.78125,214973.29641258,215902.222074416,215833.911337737,214825.905405298
A0FGR8,362187.8125,362945.156501438,362206.218597777,361962.06128208,362666.124317162,313071.65625,312569.245628152,312500.419862639,312580.557229999,312306.8036936,313650.03125,313258.279820468,313705.646217365,312859.961885523,313884.58005761,318945.375,318475.882960822,318743.82026574,318940.747164529,319249.603685331,207807.953125,207526.99903971,207257.668547932,208283.320263628,206839.76372857,273171.21875,273484.464204803,272512.715177078,272239.901493236,272882.003523342
A0JLT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1L020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1L020;Q5U5Q3;Q6ZN04;Q86XN8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1L0T0,67390.0703125,67889.2022183463,66782.4639918581,67879.5656052716,67746.5365154967,49501.52734375,49592.1078122817,48618.5577864423,48709.2507126406,49840.7687706538,182602.234375,181789.811101545,183341.855690617,183282.726635028,183112.156035181,456418.9375,457407.305755086,456171.332890067,457066.882533852,457248.697645862,321510.03125,320918.774862468,321142.316601399,321739.271418817,321455.497251052,179771.9375,179528.796972953,178958.116092965,180365.407943506,179166.619597249
A1L4K1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73952.8359375,74388.6830084994,73397.0156312026,74108.66370425,73187.3125620224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1X283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2A288,90395.0625,89819.1487396546,90903.8434027173,89395.2521503381,90123.3028344288,79692.5703125,79077.18078335,79039.6461101174,80572.9997321889,80180.0302300528,91473.9296875,92430.6096826717,90690.2363780923,92275.284978658,91252.7691117525,97414.28125,97817.0925318487,97906.8613103814,97814.2327992469,98025.800136406,65507.16015625,65861.5267870314,64510.2315943055,65082.7644259967,64962.0533340909,63150.625,64134.7188746929,63236.866889745,63270.5636222288,63045.2600412443
A2RRP1,127846.3046875,127073.350140654,128250.524076462,128443.071831312,126886.160827536,77923.2421875,77544.6912254207,77207.3792623356,77998.6139968038,77960.8025377616,73725.125,73507.7975505292,73665.7346977182,73299.9318061657,74476.7276133671,63806.75390625,64587.5141581669,64685.0764428414,64400.0016095266,63765.5239811316,40241.23828125,40531.5485569909,39482.2250522003,40966.5796096697,40903.4410450868,24133.314453125,23521.8591313474,23640.3980693445,24552.9461638667,24197.2867018208
A2RTX5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2RUS2,45020.90625,44072.2394231781,44326.3663202599,44739.0406192355,44588.9116246328,62162.0234375,61165.461142838,61581.824818451,61369.548598595,62682.9039480649,58099.5625,57497.4590831921,58459.5907110274,58659.8231511675,58843.811966341,57279.5625,56370.0699621551,56461.1703149714,56903.1158920117,56618.9628002904,40821.0390625,40280.8501990922,41021.7119683921,40691.5956479907,40983.7530469932,42477.25,42781.6850752607,42414.0620534346,42916.3695462085,41789.3008049615
A2VDJ0,64779.80078125,63790.8894780241,65208.3505114689,64720.7043768987,65311.5391384028,75228.71875,75364.4425634369,74615.6885482445,74415.3587811701,75270.0471052043,51123.3671875,50282.1930781268,51733.5416324697,52048.4733236283,50198.8110574223,NA,NA,NA,NA,NA,41119.703125,40285.3910958171,40975.6936657019,40785.6055542603,40936.7865475602,39184.48046875,38910.0316907354,39705.2230648771,38198.207141839,39449.4883953668
